Country,ISO3166,MCC MNC,MNO,RAT,Bands (Main),Plan,Support,Supported Features,Date
Albania,ALB,27602,Vodafone,NB-IoT,,plan01s,Observed,,02/02/2025
Andorra,AND,21303,Mobiland,NB-IoT,,plan01s,Observed,,02/02/2025
Austria,AUT,23201,A1,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX | SMS,08/20/2024
Austria,AUT,23201,A1,NB-IoT,B20,planX3,Guaranteed,PSM and eDRX | SMS,09/30/2024
Austria,AUT,23203,Magenta,NB-IoT,B8,plan01s,Guaranteed,PSM or eDRX,08/20/2024
Belgium,BEL,20620,Base,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX,09/30/2024
Belgium,BEL,20601,Proximus,NB-IoT,B20,plan01s,Guaranteed,PSM and eDRX,06/04/2024
Belgium,BEL,20610,Orange,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX,06/04/2024
Belgium,BEL,20610,Orange,NB-IoT,B20,planX3,Guaranteed,PSM* and eDRX,11/05/2024
Canada,CAN,302720,Rogers,NB-IoT,B12,plan01s,Validated,SMS,08/20/2024
Canada,CAN,302720,Rogers,NB-IoT,B12,plan-NA1,Validated,SMS,06/04/2024
Canada,CAN,302720,Rogers,NB-IoT,B12,planP1,Validated,-,06/25/2024
Canada,CAN,302720,Rogers,NB-IoT,B12,plan-US-NA,Validated,-,06/25/2024
Chile,CHL,73001,Entel,NB-IoT,B2 | B28,plan01s,Validated,PSM and eDRX,06/05/2024
Chile,CHL,73003,Claro,NB-IoT,B28,planP1,Validated,PSM and eDRX,07/19/2024
China,CHN,46000,China Mobile,NB-IoT,B8,plan01s,Validated,SMS,06/04/2024
China,CHN,46000,China Mobile,NB-IoT,B8,planP1,Validated,eDRX | SMS (MT),06/11/2024
Czech,CZE,23003,Vodafone,NB-IoT,B20,planX3,Guaranteed,PSM and eDRX,12/09/2024
Croatia,HRV,21910,A1,NB-IoT,B20,plan01s,Guaranteed,PSM* and eDRX | SMS,08/20/2024
Croatia,HRV,21910,A1,NB-IoT,B20,planX3,Validated,PSM* and eDRX | SMS,02/20/2025
Croatia,HRV,21901,HT,NB-IoT,B8 | B20,planX3,Validated,PSM*,12/09/2024
